City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
542,kolpashevo,58.3131,82.9089,1.14,94,100,5.48,RU,1681099308
543,boyuibe,-20.4167,-63.2833,17.3,76,58,1.43,BO,1681099308
544,salinopolis,-0.6136,-47.3561,25.01,89,100,2.56,BR,1681099309
545,puerto madero,14.7208,-92.4215,27.63,71,11,0.39,MX,1681099309
546,carberry,49.8689,-99.3602,1.13,97,100,5.57,CA,1681099310
547,chatrapur,19.35,84.9833,32.54,45,0,2.0,IN,1681099310
548,kargasok,59.0556,80.8572,1.9,95,100,5.01,RU,1681099310
549,ambagarh chauki,20.7833,80.7167,34.14,25,60,1.48,IN,1681099311
550,salaga,8.5508,-0.5188,27.58,70,100,2.84,GH,1681099311
551,ust-tsilma,65.441,52.1498,-7.11,89,79,2.6,RU,1681099312
552,tomatlan,19.9333,-105.25,21.76,67,100,0.58,MX,1681099312
553,quirinopolis,-18.4483,-50.4517,20.14,94,74,1.57,BR,1681099313
